Date,Open,High,Low,Close,Adj Close,Volume
7/31/15,40.529999,40.540001,39.880001,40.099998,38.661396,6955900
8/3/15,40.240002,41.849998,40.209999,41.709999,40.213638,9261900
8/4/15,42.150002,42.77,41.880001,42.740002,41.206676,13354300
8/5/15,42.849998,43.299999,42.59,42.959999,41.418789,7581000
8/6/15,43.25,43.450001,41.759998,42.18,40.761658,7395500
8/7/15,42.209999,42.48,41.400002,41.490002,40.09486,5588600
8/10/15,41.75,42.43,41.450001,41.68,40.278469,6860600
8/11/15,41.740002,43.419998,41.650002,42.700001,41.264175,10323100
8/12/15,42.369999,42.68,40.68,42.52,41.090225,10391900
8/13/15,42.759998,43.279999,42.27,42.669998,41.235184,6605800
8/14/15,42.349998,43.169998,42.349998,42.880001,41.438118,4857400
8/17/15,42.959999,44.02,42.82,43.950001,42.472134,8385400
8/18/15,44.060001,44.450001,43.240002,43.630001,42.162891,6317200
8/19/15,43.529999,44.27,43.209999,43.529999,42.066265,8374000
8/20/15,42.84,43.52,41.779999,41.98,40.568375,8905700
8/21/15,41.400002,41.599998,39.75,39.75,38.413361,16241600
8/24/15,36,39.900002,34.099998,37.619999,36.354988,19612700
8/25/15,39.389999,39.490002,37.490002,37.5,36.239017,12820300
8/26/15,38.77,39.009998,36.970001,38.849998,37.543625,15679800
8/27/15,39.169998,39.450001,37.970001,39.029999,37.717571,13793600
8/28/15,38.93,39.580002,38.349998,38.619999,37.321358,11825000
8/31/15,38.630001,39.759998,38.619999,38.98,37.669258,12389400
9/1/15,38.630001,39.810001,38.5,39.200001,37.881859,16042600
9/2/15,39.970001,41.509998,39.799999,41.509998,40.114182,19316800
9/3/15,41.84,41.91,40.779999,40.889999,39.515034,9905600
9/4/15,40.400002,41.32,40.150002,40.599998,39.234783,9738400
9/8/15,41.279999,41.580002,40.689999,40.799999,39.428059,10814800
9/9/15,41.150002,42.18,40.630001,41,39.62133,12462900
9/10/15,41.389999,41.880001,40.709999,41.209999,39.824268,9181600
9/11/15,41.220001,42.150002,41.049999,42.150002,40.732666,8635200
9/14/15,42.169998,42.5,41.84,42.290001,40.867954,7362500
